id,city_id,city_name,当前客户,当月新入网客户,当月离网客户,当月离网携出客户,当月离网申销客户,当月离网欠销客户,今年新入网,今年离网客户,今年离网携出客户,今年离网申销客户,今年离网欠销客户,在网客户数,组家客户,宽带客户,集团客户,长机龄客户,出账客户,通信客户,手机上网客户,5G终端客户,5G登网客户,流量超套客户,流量超套客户户均超套费,语音超套客户,语音超套客户户均超套费,APP活跃,国漫渗透率,常漫渗透率,10086呼入客户占比,10086呼出客户占比,投诉客户占比,业务退订客户占比,活动接续客户占比,欠费客户占比,固移融合率,有效融合率,异动客户占比,银发客户占比,国际客户占比,校园客户占比,宽带带宽1000MB,宽带带宽500MB,宽带带宽300MB,宽带带宽200MB,宽带带宽100MB,宽带带宽100MB以下,无宽带中高端客户,FTTR客户,fttr中千兆占比,fttr中全球通占比,TARPU0元及以下,TARPU0_30元,TARPU30_50元,TARPU50_100元,TARPU100_150元,TARPU150_200元,TARPU200_300元,TARPU300元以上,DOU0GB,DOU0_1GB,DOU1_5GB,DOU5_10GB,DOU10_20GB,DOU20_30GB,DOU30_50GB,DOU50_100GB,DOU100_200GB,DOU200GB及以上,网龄0_1年,网龄1_5年,网龄5_10年,网龄10_15年,网龄15_20年,网龄20_30年,网龄30年以上,年龄为空或异常客户,年龄0_18岁,年龄18_25岁,年龄25_35岁,年龄35_45岁,年龄45_55岁,年龄55_60岁,年龄60_65岁,年龄65_70岁,年龄70_100岁,价值下降客户,价值下降总价值,价值提升客户,价值提升总价值,合约客户,合约客户_有效融合口径,终端合约客户,终端客户中高端占比,套餐降档客户,套餐升档客户,套餐实收0元,套餐实收0_10元,套餐实收10_30元,套餐实收30_50元,套餐实收50_80元,套餐实收80_108元,套餐实收108_150元,套餐实收150_200元,套餐实收200_300元,套餐实收300元以上,户均tarpu,户均dou,通用包月流量饱和度,客户主叫mou,客户darpu,通服收入月累计,通服收入增幅,出账客户收入,出账客户收入增幅,c市场收入,h市场收入,b市场收入,n市场收入,移动通信份额,新入网50+客户,新入网75+客户,新入网150+客户,携入携出比
1,240,沈阳,7240070,66434,62514,10572,23244,27987,367911,446090,53314,158525,215768,7240070,1071077,1557278,2002712,974482,7170461,6925202,6180471,5014126,4382083,757857,28.45,757857,28.45,28.94,19.30,3.85,14.44,31.23,1.95,5.26,5.70,1.35,39.44,57.03,8.05,21.04,.93,4.39,379324,281031,414224,165117,307502,5692872,5682792,87758,92.97,53.08,366868,2900400,1324389,1680825,556898,212725,135395,62570,1170684,721040,141269,62069,70417,47348,66627,104683,129349,4726584,605189,1636897,1320074,1679712,1380142,616415,1641,222418,4815,419253,1083334,1916721,1443750,626192,585200,429338,509032,1707410,-50265131.17000,1890045,41915892.71000,1660390,3947327,62780,84.46,52846,31816,540058,1056377,3525240,775875,758396,258328,180926,108321,33258,3291,53.64,15.18,37.81,93.49,36.89,45789.13,-17499.63,38900.74,-426.05,34175.87,2366.46,107.88,2250.52,63.46,6580,5584,4734,80.97
2,411,大连,5961786,56140,47232,9550,14609,22681,273816,379697,63130,122549,175536,5961786,880714,1267528,2456539,824937,5852537,5761445,5080491,4043975,3520754,576961,27.77,576961,27.77,26.67,19.14,4.50,12.20,20.80,1.71,5.01,7.64,1.63,43.62,59.24,6.96,21.48,1.12,4.61,400789,199860,277886,158419,229373,4695459,4694258,67827,90.14,70.31,242210,2624979,1003728,1274463,454367,197504,115431,49104,978956,661670,118423,52697,61501,40908,56469,88004,110308,3792850,474439,1413558,1361254,1263028,921804,525502,2201,145105,3881,347325,781777,1541933,1310690,550593,472004,353505,454928,1508447,-28565502.15000,1629666,27943858.55000,1471215,3411303,105846,84.20,33785,21712,388458,1148432,2736018,529450,626367,224184,182937,88402,33571,3967,51.81,13.34,37.01,86.62,35.55,34662.15,-2715.77,30956.99,90.78,27228.53,1649.24,161.29,1917.94,66.93,4792,3601,2836,81.29
3,412,鞍山,2464421,25893,18318,3336,4923,9856,101449,143674,23188,37952,74550,2464421,347900,583524,1127623,362238,2415951,2377414,2010250,1639094,1407080,228698,26.25,228698,26.25,23.57,18.35,2.61,14.19,23.38,1.66,5.01,6.76,1.01,39.20,59.83,6.27,26.83,.46,2.19,150678,51924,178400,47951,153440,1882028,1880897,26461,95.09,50.14,77245,1208550,494519,465223,127015,45359,26873,19637,494028,320174,47681,21406,25087,16476,23203,36436,45039,1434891,172435,521042,376913,755764,487305,150496,466,40831,664,103509,258767,563379,561395,274825,259484,183535,218022,643753,-14549792.86000,730103,15367546.03000,622775,1421834,33712,63.32,14510,15812,119462,393865,1444166,240200,158949,49191,37478,16052,4609,449,46.08,11.03,35.08,120.95,29.14,12602.28,2657.97,11377.30,343.52,9769.00,858.61,35.10,714.59,64.95,6247,5775,3454,74.95
4,413,抚顺,1243089,9171,10941,3343,3257,4266,49104,76452,19815,21071,31097,1243089,177795,349505,381721,177022,1215314,1183453,976180,802879,690358,110037,25.60,110037,25.60,23.62,11.37,3.42,12.31,21.09,1.66,4.83,6.22,1.81,44.95,60.31,5.58,32.15,1.04,2.98,99061,70909,62858,25876,90060,894325,893584,28748,92.43,38.59,69240,596998,259224,220720,57458,19906,12039,7504,290703,103850,22798,11515,13012,8341,11735,19033,22793,739309,94195,302975,195820,298938,240084,110756,321,29544,418,52464,111347,244875,261050,143708,153742,116555,129379,282517,-7227202.17000,311047,6638602.54000,286144,713275,8565,59.01,4830,3725,88201,179768,688129,148756,87527,25093,16671,7083,1708,153,42.12,10.75,33.81,85.75,27.11,5598.39,-1010.56,5252.18,-8.52,4470.29,442.91,13.48,325.50,60.91,1432,1165,789,84.02
5,414,本溪,994504,6428,8845,2327,2244,4219,41276,67238,14457,18036,31272,994504,147055,255483,482668,158267,961876,944248,785875,637302,548001,84576,24.77,84576,24.77,23.76,16.05,2.83,13.01,24.01,1.91,5.02,7.38,1.66,45.90,65.89,5.53,30.85,.53,2.37,83583,26811,62539,25700,56440,739431,739021,16400,87.71,49.55,50989,474944,197362,181302,50996,18293,11876,8742,226687,93586,20874,10764,11317,7253,10324,16569,19235,577895,70055,200364,132102,233135,257690,101013,145,35080,318,40541,78473,202030,213629,117653,120815,87996,97961,246424,-4825757.23000,274429,5549780.34000,240218,621667,20990,73.44,5217,2622,80538,180997,539014,90884,58501,17495,16054,8195,2535,291,44.92,10.02,34.83,132.03,28.77,5162.94,-82.68,4480.95,120.02,3835.43,291.30,29.87,324.36,63.47,1340,1132,670,70.32
6,415,丹东,1613359,10713,13421,2713,2384,8206,61151,109292,18852,19163,64962,1613359,241056,410441,715556,224329,1594670,1557079,1355413,1055804,926568,155914,27.78,155914,27.78,21.47,19.62,2.71,12.08,23.88,1.47,5.07,6.95,1.50,44.39,64.24,7.20,28.67,.63,2.00,113057,68985,92612,27961,105008,1205736,1202918,21577,91.83,53.61,53177,683069,315535,370405,107096,40831,25296,17950,282037,202040,31843,14849,17637,11472,15996,26253,33193,978039,115969,389689,280195,380424,315090,131853,139,29481,508,73208,155839,330391,373028,188413,175219,125703,161559,405976,-11846383.98000,452270,10609520.88000,406314,999919,34636,80.24,12199,7767,83707,173881,905941,213427,139936,41636,35351,15374,3699,407,52.64,9.30,32.81,119.45,34.48,9133.18,-380.64,8509.11,-18.90,7380.36,570.37,20.09,538.30,66.56,2319,1911,1465,82.43
7,416,锦州,1924892,14829,18389,3018,8041,7188,84720,115229,19852,34682,55891,1924892,248598,483417,621918,268096,1889879,1863449,1490691,1312758,1129953,171700,25.85,171700,25.85,23.80,25.67,3.18,13.34,23.73,1.58,4.87,6.14,1.17,40.86,58.25,6.56,26.07,.28,3.28,140028,30841,167186,40329,100791,1445717,1441475,27491,86.98,41.55,76601,985418,379454,327384,89275,31685,21892,13183,471783,196514,39801,19954,22481,14418,20169,31735,36445,1071592,143523,384979,303017,577676,375319,139957,421,29603,857,108929,212994,410848,443301,216557,195739,134670,171383,549252,-12337147.63000,595200,11087302.98000,405411,1084948,25121,79.80,8797,12287,125424,413696,1114517,118467,94955,22917,21157,10612,2843,304,42.47,11.21,29.17,114.48,25.67,9142.22,-4009.62,8190.04,-56.47,7001.64,614.02,37.78,536.60,65.81,1348,1052,827,83.23
8,417,营口,1783068,12395,13641,3386,3548,6573,72448,102617,22646,25841,49318,1783068,280803,451756,624746,259086,1769295,1713800,1484684,1150987,1004356,177124,25.98,177124,25.98,23.21,23.05,2.89,13.61,23.27,1.58,5.33,5.68,1.42,45.88,66.20,6.42,24.32,.39,1.91,151441,58199,121652,28419,90769,1332588,1331312,25657,97.45,42.55,69662,757511,340928,407242,120016,45072,27091,15546,325159,206812,34953,15530,18351,11973,17207,26872,33836,1092375,117622,372200,336379,494498,362202,100061,106,37995,1159,77835,178899,468821,397799,186955,166326,114572,152692,469831,-12397596.17000,516839,12027537.51000,487715,1133844,32330,80.18,9737,7489,116080,199492,979418,204681,169058,50873,38557,18082,6157,670,52.51,11.24,34.68,119.73,34.02,10875.25,-1513.09,9383.41,184.31,8135.98,605.85,44.66,596.93,68.95,3554,3346,2702,77.22
9,418,阜新,1293116,10129,10257,2781,2718,4665,44662,75286,18401,19577,33909,1293116,199761,316468,578579,210018,1262793,1226739,1013031,836897,721479,126096,25.77,126096,25.77,21.32,20.80,3.56,13.23,30.61,1.56,4.66,7.19,1.33,41.66,59.34,6.00,25.48,.28,2.61,96079,14069,79248,12334,102493,988893,976648,18555,90.47,49.51,67848,599793,284882,249766,55111,18451,10596,6669,304943,132299,27667,14166,16146,10700,14771,23627,28469,720328,71850,238034,227036,354769,301126,100245,56,38042,559,56648,138794,276393,298023,155244,136615,90355,102430,395043,-11182397.64000,416324,7658076.78000,298273,727514,12945,73.27,3760,4586,97986,155787,884478,78137,46432,13503,10416,4698,1483,196,42.81,8.33,36.01,124.68,26.05,5939.24,-1475.36,5549.47,-253.03,4595.42,451.56,28.09,474.40,69.32,1636,1449,1192,44.05
10,419,辽阳,1244648,7292,10031,2418,2973,4544,45335,86303,15154,26758,41497,1244648,175134,269494,598021,176395,1224093,1143222,945282,771822,664332,102418,25.92,102418,25.92,20.97,16.26,2.63,13.39,23.80,1.70,5.05,6.12,1.98,38.77,60.85,6.21,23.88,.49,3.53,81939,35535,88365,16398,46796,975615,975154,16854,87.81,49.70,103335,595716,241887,208431,55426,19579,12281,7993,328122,141683,22585,10012,11815,7729,10837,16735,20024,675106,83460,230725,256791,287816,292941,92667,248,90181,289,45903,122036,252512,299346,137182,118198,78967,100031,327255,-6481528.74000,355457,6262115.75000,262707,695232,13270,65.49,6880,8212,137898,189947,703323,103019,65365,22283,14330,6602,1724,157,40.64,10.78,32.51,102.79,25.59,5572.47,-1691.88,5071.89,60.28,4370.41,318.02,22.68,360.78,66.14,1557,1440,1192,78.69
